Cell Name,Cluster
A2_P4_M11,CD8_4
A4_P3_M11,CD8_2
A4_P4_M11,CD8_2
A4_P6_M11,CD8_4
A6_P6_M11,CD8_2
A7_P2_M11,CD8_4
A9_P4_M11,CD8_2
B10_P1_M11,CD8_4
B10_P3_M11,CD8_6
B10_P6_M11,CD8_2
B11_P6_M11,CD8_4
B12_P3_M11,CD8_4
B1_P4_M11,CD8_2
B2_P5_M11,CD8_2
B3_P5_M11,CD8_2
B5_P1_M11,CD8_2
B5_P6_M11,CD8_2
B6_P1_M11,CD8_2
B7_P4_M11,CD8_2
C10_P6_M11,CD8_4
C11_P4_M11,CD8_2
C11_P6_M11,CD8_4
C12_P4_M11,CD8_2
C1_P3_M11,CD8_2
C1_P4_M11,CD8_1
C3_P1_M11,CD8_2
C4_P1_M11,CD8_4
C4_P3_M11,CD8_2
C4_P6_M11,CD8_2
C6_P4_M11,CD8_1
C7_P3_M11,CD8_4
C7_P6_M11,CD8_4
C8_P5_M11,CD8_2
C9_P1_M11,CD8_2
C9_P4_M11,CD8_4
D10_P1_M11,CD8_6
D10_P6_M11,CD8_6
D11_P6_M11,CD8_4
D12_P6_M11,CD8_2
D1_P1_M11,CD8_4
D1_P4_M11,CD8_2
D2_P4_M11,CD8_2
D2_P6_M11,CD8_4
D3_P1_M11,CD8_4
D3_P6_M11,CD8_4
D4_P1_M11,CD8_2
D4_P3_M11,CD8_2
D4_P4_M11,CD8_4
D4_P6_M11,CD8_4
D5_P4_M11,CD8_4
D6_P1_M11,CD8_2
D6_P3_M11,CD8_4
D6_P5_M11,CD8_1
D6_P6_M11,CD8_4
D7_P3_M11,CD8_2
D7_P5_M11,CD8_4
D9_P3_M11,CD8_4
D9_P5_M11,CD8_2
E10_P2_M11,CD8_2
E12_P6_M11,CD8_4
E4_P3_M11,CD8_4
E6_P1_M11,CD8_4
E7_P1_M11,CD8_4
E7_P5_M11,CD8_2
E8_P2_M11,CD8_4
E8_P5_M11,CD8_4
E9_P5_M11,CD8_4
F10_P2_M11,CD8_4
F10_P3_M11,CD8_4
F10_P4_M11,CD8_6
F10_P6_M11,CD8_2
F11_P6_M11,CD8_2
F12_P6_M11,CD8_4
